Position,Track Name,Artist,Streams,URL
57,Gangsta,Darkoo,97280,https://open.spotify.com/track/0yoXHeL4gJg0DNheK4xqJB
58,Rare,Selena Gomez,97193,https://open.spotify.com/track/7HMmFQsKsljwTw8bS7lu19
59,Dior,Pop Smoke,96486,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
60,Suicidal,YNW Melly,94536,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
61,hot girl bummer,blackbear,94453,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
62,GOODMORNINGTOKYO!,TOKYO’S REVENGE,93519,https://open.spotify.com/track/0Q2n5yzl2XRqYbV77tZNYp
63,Ride It,Regard,92665,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
64,Flowers (feat. Jaykae),Nathan Dawe,92421,https://open.spotify.com/track/5aYWnrsYvJk8NT7PmUcxVN
65,Beautiful People (feat. Khalid),Ed Sheeran,92313,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
66,Bully Beef (feat. Fredo),Young T & Bugsey,91267,https://open.spotify.com/track/1MM7XFWwDxUIW7sn1toUaa
67,MICE,Aitch,91157,https://open.spotify.com/track/07SFiPNu6hQ98zLyDZThC1
68,Strike a Pose (feat. Aitch),Young T & Bugsey,91139,https://open.spotify.com/track/23GvTfcGK454ppLsts3W44
69,SUGAR,BROCKHAMPTON,90179,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA
70,Lucid Dreams,Juice WRLD,89732,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
71,Señorita,Shawn Mendes,89455,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
72,Professor X,Dave,89338,https://open.spotify.com/track/5wfyoR8XOkw45QRtFOoxyi
73,Mr. Brightside,The Killers,89292,https://open.spotify.com/track/7d8GetOsjbxYnlo6Y9e5Kw
74,Lights Up,Harry Styles,86945,https://open.spotify.com/track/4jAIqgrPjKLTY9Gbez25Qb
75,Pump It Up,Endor,86712,https://open.spotify.com/track/0GiwV6v3AgJfdu59tj719Y
76,WINE,B Young,86425,https://open.spotify.com/track/2Jvcvvz3qqNsFEzryvcaCs
77,lovely (with Khalid),Billie Eilish,86019,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
78,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,85990,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
79,Higher Love,Kygo,85893,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY
80,Shallow,Lady Gaga,84768,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
81,What If I Told You That I Love You,Ali Gatie,84657,https://open.spotify.com/track/3cqPu20DGTGUoZtbJH2Dmi
82,ocean eyes,Billie Eilish,83044,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU
83,Lose You To Love Me,Selena Gomez,83002,https://open.spotify.com/track/4l0Mvzj72xxOpRrp6h8nHi
84,Tequila - Jax Jones & Martin Solveig Present Europa,Jax Jones,82900,https://open.spotify.com/track/6fU55C7VdMSSkJ0ZGmX2Kg
85,Pee Pee,M Huncho,82708,https://open.spotify.com/track/5iwXbChKtH2OB6a1fxmp7R
86,HIGHEST IN THE ROOM,Travis Scott,82077,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
87,Don't Call Me Up,Mabel,81888,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
88,Birthday,Anne-Marie,80836,https://open.spotify.com/track/5hff5RQeE84pznOt8WEWeO
89,Wake Up Call (feat. Trippie Redd),KSI,80820,https://open.spotify.com/track/5MYzajZVxBaPT2JUSRa99L
90,If The World Was Ending (feat. Julia Michaels),JP Saxe,80520,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
91,3 Nights,Dominic Fike,80101,https://open.spotify.com/track/0uI7yAKUf52Cn7y3sYyjiX
92,Good as Hell (feat. Ariana Grande),Lizzo,77801,https://open.spotify.com/track/2rjjNUYONZqC7wSd1i6OFq
93,Must Be,J Hus,77032,https://open.spotify.com/track/5vIXEk3u02WHbcD0h2ozhm
94,BOP,DaBaby,76985,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
95,Repeat (feat. Koffee),J Hus,76966,https://open.spotify.com/track/6Yblv6BbZHIkyrpYl4E0Zk
96,Still Disappointed,Stormzy,76797,https://open.spotify.com/track/78XK5PDIKWiDKcgiLl1x0o
97,Sorry,Joel Corry,76075,https://open.spotify.com/track/6y1UtRcHQU07aUs3oxZ8Yn
98,Netflix & Chill,Fredo,74114,https://open.spotify.com/track/31m40qBxoj4iMSnQLkq8nP
99,Thiago Silva,Dave,73840,https://open.spotify.com/track/3DKCTIiJ97bS9TGiqcABjo
100,Grace,Lewis Capaldi,73402,https://open.spotify.com/track/0pEkK8MqbmGSX7fT8WLMbR
101,Flex (feat. JB Scofield),JAY1,73159,https://open.spotify.com/track/0VJu2YKyBXyCFVE6cZaGpS
102,Taste (Make It Shake),Aitch,73094,https://open.spotify.com/track/1xPpYbCaJWonL7IFXPDjON
103,Feel Me,Selena Gomez,71822,https://open.spotify.com/track/6XXYdF6pJR1K3wKvuxmu7n
104,No Idea,Don Toliver,71483,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu
105,So High (feat. Fredo),MIST,70010,https://open.spotify.com/track/5aubXDnDNVKA5pS7EnR0mp
106,Buss Down (feat. ZieZie),Aitch,70001,https://open.spotify.com/track/584UC3Qpm8SbYd7aRWKREu
107,No Judgement,Niall Horan,69428,https://open.spotify.com/track/5IUOU5xkzGHsRFOYNu3GSK
108,Heartless,The Weeknd,69393,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
109,Ransom,Lil Tecca,68224,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
110,Options,NSG,68218,https://open.spotify.com/track/2cytBOLpwFRX7J9URCrFIe
111,Destined For Greatness,Tobi & Manny,68002,https://open.spotify.com/track/2NlDF79eSeqe5FwmoVNdnG
112,Outnumbered,Dermot Kennedy,67473,https://open.spotify.com/track/4Ta3PhWmY50ZLU1uhKFKPE
113,ON,BTS,67028,https://open.spotify.com/track/2QyuXBcV1LJ2rq01KhreMF
114,Trust,Brent Faiyaz,66974,https://open.spotify.com/track/0oufSLnKQDoBFX5mgkDCgR
115,Piece Of Your Heart,MEDUZA,66918,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
116,F.N,Lil Tjay,66767,https://open.spotify.com/track/0RLLvYBopDwooCyvnTwgYu
117,Keisha & Becky - Remix,RussMB,66400,https://open.spotify.com/track/0rETge1bMavnW9leLCnpwd
118,Audacity (feat. Headie One),Stormzy,66228,https://open.spotify.com/track/6Oq4fiDzKaFMU89dTvM24u
119,Crown,Stormzy,66070,https://open.spotify.com/track/4CEGyF5A5u5BjweVvkgCsn
120,Funky Friday,Dave,66063,https://open.spotify.com/track/01IQ4aQgOf0Kkq3a273hmO
121,"All I Want - From ""High School Musical: The Musical: The Series""",Olivia Rodrigo,66062,https://open.spotify.com/track/4Yxc55NX3tAXC2mHRAhtcW
122,July,Noah Cyrus,65294,https://open.spotify.com/track/5a6pdCHlWS2ekOOQ70QnAr
123,Shotgun,George Ezra,64558,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
124,React,The Pussycat Dolls,64225,https://open.spotify.com/track/0GWYApQBwErVPkyXYCTJjI
125,Numbers (feat. Roddy Ricch; Gunna and London On Da Track),A Boogie Wit da Hoodie,64111,https://open.spotify.com/track/733c1CWmIGymoQXdp7Us88
126,This City,Sam Fischer,63732,https://open.spotify.com/track/3H3r2nKWa3Yk5gt8xgmsEt
127,New Dior (feat. D-Block Europe),DigDat,63226,https://open.spotify.com/track/5YIUAdjnj180Fkqwf0J5X0
128,Eastside (with Halsey & Khalid),benny blanco,63014,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
129,Better Half of Me,Tom Walker,62921,https://open.spotify.com/track/4VPlKUSjC9HdZdUbFZ0Y5y
130,Smooth Criminal,Poundz,62285,https://open.spotify.com/track/6O4ebrNJ0ofxxm2r5EMj78
131,Bandit (with YoungBoy Never Broke Again),Juice WRLD,62136,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
132,Truth Hurts,Lizzo,61487,https://open.spotify.com/track/3HWzoMvoF3TQfYg4UPszDq
