Position,Track Name,Artist,Streams,URL
57,Make No Sense,YoungBoy Never Broke Again,406107,https://open.spotify.com/track/6klLvorLoo1sxvZcjJIY8I
58,Watermelon Sugar,Harry Styles,403911,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
59,Truth Hurts,Lizzo,401030,https://open.spotify.com/track/3HWzoMvoF3TQfYg4UPszDq
60,Ransom,Lil Tecca,400348,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
61,MIDDLE CHILD,J. Cole,399656,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
62,Goodbyes (Feat. Young Thug),Post Malone,399402,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
63,Before You Go,Lewis Capaldi,398648,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
64,If The World Was Ending (feat. Julia Michaels),JP Saxe,397664,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
65,lovely (with Khalid),Billie Eilish,396470,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
66,223's (feat. 9lokknine),YNW Melly,387457,https://open.spotify.com/track/29ZXwWOOLz9t5fa3eT3i7T
67,July,Noah Cyrus,385357,https://open.spotify.com/track/5a6pdCHlWS2ekOOQ70QnAr
68,EARFQUAKE,Tyler; The Creator,383090,https://open.spotify.com/track/5hVghJ4KaYES3BFUATCYn0
69,No Guidance (feat. Drake),Chris Brown,380788,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
70,Wow.,Post Malone,379809,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg
71,What If I Told You That I Love You,Ali Gatie,379521,https://open.spotify.com/track/3cqPu20DGTGUoZtbJH2Dmi
72,FML,Arizona Zervas,375092,https://open.spotify.com/track/6lruHh1jF7ezgbLv72xYmf
73,All Girls Are The Same,Juice WRLD,373240,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
74,Señorita,Shawn Mendes,373170,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
75,Start Wit Me (feat. Gunna),Roddy Ricch,368859,https://open.spotify.com/track/7A20WnLkjtZU2d7hIB6Ziu
76,Sunday Best,Surfaces,363894,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
77,me & ur ghost,blackbear,363522,https://open.spotify.com/track/4yJiXq86uM56uIfIZgE440
78,Going Bad (feat. Drake),Meek Mill,351441,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
79,Stuck In A Dream (feat. Gunna),Lil Mosey,350429,https://open.spotify.com/track/7iHHxY2NLlJRAmlAmC4ahQ
80,Baby (Lil Baby feat. DaBaby),Quality Control,348982,https://open.spotify.com/track/5MPPttjfGap2C6j6eKcO6J
81,Camelot,NLE Choppa,348527,https://open.spotify.com/track/4sWuPniHClkInYAnzXAYUF
